Data Table for Cumulative Deaths - The United States
Date generated: Tue Apr 15 2025 06:26:04 GMT+0000 (Coordinated Universal Time)
Geography,Date,Cumulative Deaths,Death Data As Of
United States,Nov 14 2020,253115,Apr 10 2025
United States,Nov  7 2020,242471,Apr 10 2025
United States,Oct 31 2020,233717,Apr 10 2025
United States,Oct 24 2020,226698,Apr 10 2025
United States,Oct 17 2020,220708,Apr 10 2025
United States,Oct 10 2020,215513,Apr 10 2025
United States,Oct  3 2020,210700,Apr 10 2025
United States,Sep 26 2020,206460,Apr 10 2025
United States,Sep 19 2020,202164,Apr 10 2025
United States,Sep 12 2020,197891,Apr 10 2025
United States,Sep  5 2020,193273,Apr 10 2025
United States,Aug 29 2020,188263,Apr 10 2025
United States,Aug 22 2020,182524,Apr 10 2025
United States,Aug 15 2020,176150,Apr 10 2025
United States,Aug  8 2020,168902,Apr 10 2025
United States,Aug  1 2020,161054,Apr 10 2025
United States,Jul 25 2020,152769,Apr 10 2025
United States,Jul 18 2020,144540,Apr 10 2025
United States,Jul 11 2020,137374,Apr 10 2025
United States,Jul  4 2020,131604,Apr 10 2025
United States,Jun 27 2020,127064,Apr 10 2025
United States,Jun 20 2020,123229,Apr 10 2025
United States,Jun 13 2020,119385,Apr 10 2025
United States,Jun  6 2020,115158,Apr 10 2025
United States,May 30 2020,110112,Apr 10 2025
United States,May 23 2020,103952,Apr 10 2025
United States,May 16 2020,96723,Apr 10 2025
United States,May  9 2020,87494,Apr 10 2025
United States,May  2 2020,76271,Apr 10 2025
United States,Apr 25 2020,63071,Apr 10 2025
United States,Apr 18 2020,47546,Apr 10 2025
United States,Apr 11 2020,30345,Apr 10 2025
United States,Apr  4 2020,14039,Apr 10 2025
United States,Mar 28 2020,3926,Apr 10 2025
United States,Mar 21 2020,715,Apr 10 2025
United States,Mar 14 2020,129,Apr 10 2025
United States,Mar  7 2020,69,Apr 10 2025
United States,Feb 29 2020,31,Apr 10 2025
United States,Feb 22 2020,22,Apr 10 2025
United States,Feb 15 2020,16,Apr 10 2025
United States,Feb  8 2020,10,Apr 10 2025
United States,Feb  1 2020,6,Apr 10 2025
United States,Jan 25 2020,6,Apr 10 2025
United States,Jan 18 2020,3,Apr 10 2025
United States,Jan 11 2020,1,Apr 10 2025
